Address,Quantity
0x26fff3fb68fa35c283d51d87fd8989bc8aa1118a,4
0x88c0cf2c5503201a42852753ce7a11dc48a3f7bd,2
0xa87c59b1999d4b322fb5d8889f91c5349f06b202,7
0x957e9aca1ee73c5c3190a234765e3ab66dbc559e,1
0x004ebbece28fe12e1343f028d9394624ee18dd86,2
0xe43840e77829b2df75959b7107d172060ab6bd87,2
0x6ea8740ccea7adf19699868d69b22845f4c19f33,1
0xf2df084086566f592f51b6851d9c83b0c7dd4791,1
0x1f7fd5931aa0102092d082b3ef9e47cf0c90dd74,1
0xea0dc094bb3b64f715a9a62045151f9a558ec380,1
0x01320b1fedc48c475737612abc51b6d91e6aeb07,2
0x59097c8027c887825a739c93dc9f4d8a2525fc62,3
0xc8f729b4afcbf8cb1f2f969511c684925bc1034b,6
0xd6cd56b69c2c345cdd98125ade6d25e1161d1a2e,1
0x20fbb79323026a91f6178b76c328fc19159b5967,2
0x8942277348b8bec2f082b8af76d7dd7e55dae81f,1
0xc0dd5ab9cae9f9371a26ba04e8eef77a3be80ffe,2
0xa9e991304a0b28852a3e6fd2162b41fea75a5487,5
0xce1b4636f2b1d38dce9763b8ddca43dfb873ade5,2
0x3167e03c6e66b5aac6f060c0acf8749e433d204e,1
0x3fd986ea4767cdb9f48c14e469c1cdb9f1e56e56,6
0x4a4c43230e64b397f6a0f11c8714f880741d5a9d,1
0xfe34e4bb3081ec4a759076919abb7e7cffa09e6e,3
0x4e34f4d72dd941d0eb71102c2a447e0014005a46,2
0x129337733ecd8910a2603d4a0ee32492e93f8809,3
0xba038d9129053190627f098651f04833fa5a5eb8,3
0xad613e144ab76176c007729a7f846cd543025659,2
0x177c20dd91a69afa206b99f1f57ec86ed2f222dd,4
0xddd834834cb2bf2cd42db5cf2a103b46c2ff7b12,2
0xd3c17429441801d6088a27f818e116c3f14e86d0,1
0x17e1a98285351d294fb9085a1f1c1d631e98e2e1,1
0x043e75bec110e1c80f233bc6b86c59a9827583c6,1
0x433c4099a8d18c3f085e8452e4f90e66382dfc7f,2
0x14e857d014d3ece7ee520065622ca97593e8fb8b,2
0x277917bef2b9b8124b4466c00d0a57f80361c73e,2
0x15e9e04f7bdb51237a83adf513d927de7939c9d3,1
0x1654faf55fe0a686ccf5b7a5ee0a71b8e0cbc7c7,1
0x133359d3aef019f2de4df81bf570f767e65b982b,1
0xd363549ae6ae426df200660c2f8224d581757016,1
0xeaf96a1d005194d6630eace852e9852dfaa1ff3c,3
