HolderAddress,Balance
0x8815999c90725bab7ffb5bef44e64f6ec46f4daf,20582701.757212
0x11360f0c5552443b33720a44408aba01a809905e,20417807.9520231
0xe1c16e2278b5ed608eed8ce226594f51b52cc485,19900598.6341078
0x8a4e1d91ada8c6b94a8dd5cc66bede915297f9f3,19814138.0654321
0xa68d20dc2a6acf744274a0301cde778744e812e9,19654440.0654982
0xbc6c3321aedb3ce478d84e1b2d97fd2b6debd426,19419047.2767331
0xdcc75422359e6ed1095c38664a88794e0edd341a,19329300.8693734
0xbc78ffa671925fc5c86ca6362b19d47617af9168,19106786.1931415
0xe62c522b0eea657414fad0a1893223f54ccd5190,19075758.0996457
0x036d78c5e87e0aa07bf61815d1effe10c9fd5275,18907525.3975009
0x8b485915da7d587edbd16d0fdb899e93e26cd701,18902684.3725742
0x9840da68e883f9d7c10641695748255e42af02c1,18763698.6446743
0x9008d19f58aabd9ed0d60971565aa8510560ab41,18686070.2755877
0x46ecb3f576c31290e1a4b359fd993e36e86ef9e1,18372664.1538931
0x6c866ff3e6faa46dc4c5136a5feef0ee65021ebd,18057551.2066471
0x4cadfe63af96404bcb3fbef877dc7aaf2593156d,17917356.5849275
0x9bbcd2604bb83008a866230dd8bdd05fd7496093,17853590.9732405
0x3f3e2f43f0ac69f30ec38d3e4fec304bdf330e7a,17654625.7772673
0xfe5573c66273313034f7ff6050c54b5402553716,17304134.3154507
0x2b839454083ecc9e1d1d04b0afcc7174f66c7c5b,17124470.9974065
0x8776934058c69f325c3c9c4c50bcf42151d2a5c7,16983597.395859
0xead6605b9e105e28bd35e9f494131c10c1281ce9,16933337
0xa52899a1a8195c3eef30e0b08658705250e154ae,16885879.5093654
0x5b97106fa5d8686a447b3bc6a98fd0fba35dd314,16789519.363116
0xf51f691b31b7539705e3def3c569093e1e7cf620,16732203.9131263
0x48e4dd3e356823070d9d1b7d162d072ae9efe0cb,16603239.516534
0x459f3294d879530b1643c885a864e764f2b353e6,16466841.0281913
0xeeddfb62cf9cd86aae74784a5ef33b18678179d4,16421471.9677083
0xe10772c3c2e8879b13d5d2886ef8e9f9b95b83aa,16386614.7663951
0x677db4b74010c63f11a8af2025ac63badc0655f1,16275706.2706088
0x4e426eebeeada68a1c9b201c303977fcb921161b,16241671.2368404
0x52bdccd9fa41a41c48a5b0ad80824db89eb3f557,16178640.927918
0x45b07712fdd5180be216ab7196a4c651adedd040,16090558.4628344
0x7d647b1a0dcd5525e9c6b3d14be58f27674f8c95,16059428.3361851
0xbd6b8d8fa94f7307840252548549b56a33c98054,15747329.4322646
0x3dca07e16b2becd3eb76a9f9ce240b525451f887,15510278
0x227d73ae8cbebdfc8a04a9e86c2b66b0dd611a3f,15158529.0257159
0x5438f01ebba17c7ee279af990d0a8a02267833e4,15083924.8281442
0xce71c5d7d5e909ad8329d7d02bcbf556502d8ca5,15036685.782102
0x0767e7b07fe3816d69e8ae9cce87b011af0199ba,15000000
0xd3263f0dd5a9455c15dabb0a192c68e593cb8eeb,14723534.1437763
0x067b7b91ff0b605cec995ce8cda2e3218603f94f,14708811.4934527
0x982e09ebd5bf6f4f9cce5d0c84514fb96d91c5f9,14532698.0389746
0xe998260ec07a710cbcf9916357f8c7788db41a19,14380753.3721142
0x537038d516e7e71bff78a555799ce0daa01e79a1,14370075.2582486
0xa1bcf09a97d366ea74ef3d04034030418eb77bcf,14355789.1197826
0x38cbe3d8b33a1ab8863f326468e2c5f2289d1b31,14262013.797983
0x3a416d2e73c784d85e4deaa1e3f447e3d8d85d1c,14161719.037839
0xb630abd9a5367763b7cba316e870c4a54064cc9f,14025561
0x8a1e0320180f0231dd31fd65966e6bff32e9cbe6,13884206.1619415
0x98959c457ac5fce42751ccc210ef8cb62db12d6b,13839553.8198302
0xc23d3085a6c132eb7bec00a471a2ba10658d7edc,13781823.7746087
0x610d17521916711927fade9ae31875e6d85d65ac,13700357.2738854
0xcf61ca7e0784d73a6faf819bdf02435b9bbeccf6,13553956.2053995
0x797d72f2d3b05a5a9dbccec5a30a3ead7173f480,13519657.5688439
0xac8e926e3adf2887a12e11a233661b4a53879b07,13237785.9842862
0x44c40530a1bbf36790b90cc68d16c1a8f9d77a85,13234337.5185375
0x57b3abae7e7392571396a4a91bc1ae35bbdd19d7,13222645.7969568
0x2b5481a537b3639ed18e805209e4de4793b92954,13133023.7458228
